"","","all_mortality","unemployment","rural","age","income","poverty","college_grad","percent_white","Pacific","East South Central","West South Central","Mountain","New England","South Atlantic","West North Central","East North Central","Middle Atlantic"
"1",1,9.592,7.7,6,4.62,3.7497,4.09984726995036,14.1,93.7571592210767,0,0,0,1,0,0,0,0,0
"2",2,7.622,3.1,1,3.69,6.0931,2.13645057362628,34.1,93.0368187289859,0,0,0,0,1,0,0,0,0
"3",3,7.03,4.6,2,3.6,3.9738,3.90172647436687,8.9,69.6450256067299,0,0,0,1,0,0,0,0,0
"4",4,7.96,6.8,6,2.9,4.8127,3.29325940444621,13.6,36.6912281069523,1,0,0,0,0,0,0,0,0
"5",5,6.701,3.5,8,3.91,4.7037,2.41684726279092,14.1,95.0249693771789,0,0,0,1,0,0,0,0,0
"6",6,8.826,4.6,6,3.32,4.4004,2.76290259992239,13,65.1299961195188,0,0,0,1,0,0,0,0,0
"7",7,7.693,4.9,6,3.72,4.4499,3.14620006695917,15.7,81.1069408468573,0,0,0,1,0,0,0,0,0
"8",8,5.653,21.8,3,3.38,4.0426,4.05533758845403,14.4,34.1943417010367,0,0,0,1,0,0,0,0,0
"9",9,7.338,5.6,3,4.92,4.722,3.05357223877087,25.6,82.2089462684992,0,0,0,1,0,0,0,0,0
"10",10,8.864,4.3,7,4.33,4.1155,3.25630560530875,16.7,71.7224065537188,0,0,1,0,0,0,0,0,0
"11",11,5.417,11.5,4,3.56,3.4893,4.79897010150279,22,15.913716259565,0,0,0,1,0,0,0,0,0
"12",12,5.959,6.3,1,3.53,5.0888,3.08647423260186,18,58.891463616128,0,0,0,1,0,0,0,0,0
"13",13,7.173,3,2,4.08,6.8435,1.31112581081481,29.6,95.9570329854769,0,0,0,0,0,0,1,0,0
"14",14,7.438,3.3,9,4.56,4.587,2.70697490614503,20.8,96.80300335902,0,0,0,0,0,0,1,0,0
"15",15,7.851,4.4,2,4.06,5.1685,2.12370504611794,20.6,94.030170831514,0,0,0,0,0,0,0,1,0
"16",16,8.028,3.6,2,3.85,5.2927,2.63760926564049,20.2,89.8078812871997,0,0,0,0,0,0,1,0,0
"17",17,9.09,8.3,6,4.12,3.8479,4.4535516797737,12.9,97.674814896862,0,0,0,0,0,0,0,1,0
"18",18,7.635,3.6,7,4.1,5.2861,1.96734632779839,24.6,93.3366835245437,0,0,0,0,0,0,1,0,0
"19",19,7.483,3.3,7,3.94,5.6124,1.53732453650228,15.7,96.7246813759079,0,0,0,0,0,0,0,1,0
"20",20,7.153,3,9,4.76,4.7872,2.51992367269054,17.4,95.0134695251992,0,0,0,0,0,0,1,0,0
"21",21,9.08,5.1,4,3.99,4.3529,3.26887381868032,12.4,89.8600613861626,0,0,0,0,0,0,0,1,0
